id,link,lane,time,distance,speed
24,AB,FORWARD1,21.5,17.278947776998564,33.08056918731152
22,AB,FORWARD1,21.5,68.55304092919955,33.12253567482429
16,AB,FORWARD1,21.5,243.49554158022536,32.96025617270996
13,AB,FORWARD1,21.5,331.44551813169613,31.541474265612504
11,AB,FORWARD1,21.5,374.7081952460651,31.651322423372914
9,AB,FORWARD1,21.5,424.2784780755717,32.80453043056649
7,AB,FORWARD1,21.5,485.6573220053632,34.71812175147531
5,AB,FORWARD1,21.5,587.3597160325269,33.06095586601983
21,AB,FORWARD2,21.5,76.78638948403302,31.358352179132694
18,AB,FORWARD2,21.5,187.41711830266078,31.801837434915864
17,AB,FORWARD2,21.5,231.03328641600484,32.30989523227879
12,AB,FORWARD2,21.5,317.97997407934025,30.254721143148824
